date;class;focuses;uf
2019/08;Desmatamento Consolidado;960;MARANHÃO
2019/08;Desmatamento Consolidado;954;MATO GROSSO
2019/08;Desmatamento Consolidado;284;MATO GROSSO DO SUL
2019/08;Desmatamento Consolidado;620;MINAS GERAIS
2019/08;Desmatamento Consolidado;15;PARANÁ
2019/08;Desmatamento Consolidado;311;PIAUÍ
2019/08;Desmatamento Consolidado;275;SÃO PAULO
2019/08;Desmatamento Consolidado;698;TOCANTINS
2019/08;Desmatamento Recente;99;BAHIA
2019/08;Desmatamento Recente;76;GOIÁS
2019/08;Desmatamento Recente;667;MARANHÃO
2019/08;Desmatamento Recente;334;MATO GROSSO
2019/08;Desmatamento Recente;36;MATO GROSSO DO SUL
2019/08;Desmatamento Recente;65;MINAS GERAIS
2019/08;Desmatamento Recente;3;PARANÁ
2019/08;Desmatamento Recente;169;PIAUÍ
2019/08;Desmatamento Recente;1;RONDÔNIA
2019/08;Desmatamento Recente;4;SÃO PAULO
2019/08;Desmatamento Recente;321;TOCANTINS
2019/08;Floresta;196;BAHIA
2019/08;Floresta;6;DISTRITO FEDERAL
2019/08;Floresta;142;GOIÁS
2019/08;Floresta;1497;MARANHÃO
2019/08;Floresta;1435;MATO GROSSO
2019/08;Floresta;478;MATO GROSSO DO SUL
2019/08;Floresta;85;MINAS GERAIS
2019/08;Floresta;728;PIAUÍ
2019/08;Floresta;1835;TOCANTINS
2019/08;Outros;1;MATO GROSSO DO SUL
2019/09;Desmatamento Consolidado;352;BAHIA
2019/09;Desmatamento Consolidado;103;DISTRITO FEDERAL
2019/09;Desmatamento Consolidado;2734;GOIÁS
2019/09;Desmatamento Consolidado;1147;MARANHÃO
2019/09;Desmatamento Consolidado;1900;MATO GROSSO
2019/09;Desmatamento Consolidado;469;MATO GROSSO DO SUL
2019/09;Desmatamento Consolidado;1607;MINAS GERAIS
2019/09;Desmatamento Consolidado;4;PARANÁ
2019/09;Desmatamento Consolidado;417;PIAUÍ
2019/09;Desmatamento Consolidado;323;SÃO PAULO
2019/09;Desmatamento Consolidado;1132;TOCANTINS
2019/09;Desmatamento Recente;161;BAHIA
2019/09;Desmatamento Recente;5;DISTRITO FEDERAL
2019/09;Desmatamento Recente;329;GOIÁS
2019/09;Desmatamento Recente;659;MARANHÃO
2019/09;Desmatamento Recente;453;MATO GROSSO
2019/09;Desmatamento Recente;50;MATO GROSSO DO SUL
2019/09;Desmatamento Recente;165;MINAS GERAIS
2019/09;Desmatamento Recente;189;PIAUÍ
2019/09;Desmatamento Recente;5;SÃO PAULO
2019/09;Desmatamento Recente;502;TOCANTINS
2019/09;Floresta;644;BAHIA
2019/09;Floresta;8;DISTRITO FEDERAL
2019/09;Floresta;906;GOIÁS
2019/09;Floresta;1511;MARANHÃO
2019/09;Floresta;2429;MATO GROSSO
2019/09;Floresta;458;MATO GROSSO DO SUL
2019/09;Floresta;365;MINAS GERAIS
2019/09;Floresta;1;PARANÁ
2019/09;Floresta;1130;PIAUÍ
2019/09;Floresta;2831;TOCANTINS
2019/10;Desmatamento Consolidado;213;BAHIA
2019/10;Desmatamento Consolidado;25;DISTRITO FEDERAL
2019/10;Desmatamento Consolidado;376;GOIÁS
2019/10;Desmatamento Consolidado;1190;MARANHÃO
2019/10;Desmatamento Consolidado;206;MATO GROSSO
2019/10;Desmatamento Consolidado;79;MATO GROSSO DO SUL
2019/10;Desmatamento Consolidado;586;MINAS GERAIS
2019/10;Desmatamento Consolidado;13;PARANÁ
2019/10;Desmatamento Consolidado;253;PIAUÍ
2019/10;Desmatamento Consolidado;104;SÃO PAULO
2019/10;Desmatamento Consolidado;462;TOCANTINS
2019/10;Desmatamento Recente;143;BAHIA
2019/10;Desmatamento Recente;1;DISTRITO FEDERAL
2019/10;Desmatamento Recente;132;GOIÁS
2019/10;Desmatamento Recente;870;MARANHÃO
2019/10;Desmatamento Recente;120;MATO GROSSO
2019/10;Desmatamento Recente;23;MATO GROSSO DO SUL
2019/10;Desmatamento Recente;109;MINAS GERAIS
2019/10;Desmatamento Recente;2;PARANÁ
2019/10;Desmatamento Recente;155;PIAUÍ
2019/10;Desmatamento Recente;1;SÃO PAULO
2019/10;Desmatamento Recente;409;TOCANTINS
2019/10;Floresta;375;BAHIA
2019/10;Floresta;1;DISTRITO FEDERAL
2019/10;Floresta;337;GOIÁS
2019/10;Floresta;675;MARANHÃO
2019/10;Floresta;109;MATO GROSSO
2019/10;Floresta;64;MATO GROSSO DO SUL
2019/10;Floresta;235;MINAS GERAIS
2019/10;Floresta;540;PIAUÍ
2019/10;Floresta;548;TOCANTINS
2019/11;Desmatamento Consolidado;118;BAHIA
2019/11;Desmatamento Consolidado;91;GOIÁS
2019/11;Desmatamento Consolidado;714;MARANHÃO
2019/11;Desmatamento Consolidado;148;MATO GROSSO
2019/11;Desmatamento Consolidado;45;MATO GROSSO DO SUL
2019/11;Desmatamento Consolidado;151;MINAS GERAIS
2019/11;Desmatamento Consolidado;114;PIAUÍ
2019/11;Desmatamento Consolidado;25;SÃO PAULO
2019/11;Desmatamento Consolidado;137;TOCANTINS
2019/11;Desmatamento Recente;71;BAHIA
2019/11;Desmatamento Recente;42;GOIÁS
2019/11;Desmatamento Recente;563;MARANHÃO
2019/11;Desmatamento Recente;91;MATO GROSSO
2019/11;Desmatamento Recente;27;MATO GROSSO DO SUL
2019/11;Desmatamento Recente;30;MINAS GERAIS
2019/11;Desmatamento Recente;72;PIAUÍ
2019/11;Desmatamento Recente;142;TOCANTINS
2019/11;Floresta;211;BAHIA
2019/11;Floresta;25;GOIÁS
2019/11;Floresta;104;MARANHÃO
2019/11;Floresta;12;MATO GROSSO
2019/11;Floresta;13;MATO GROSSO DO SUL
2019/11;Floresta;58;MINAS GERAIS
2019/11;Floresta;194;PIAUÍ
2019/11;Floresta;53;TOCANTINS
2019/12;Desmatamento Consolidado;35;BAHIA
2019/12;Desmatamento Consolidado;57;GOIÁS
2019/12;Desmatamento Consolidado;484;MARANHÃO
2019/12;Desmatamento Consolidado;100;MATO GROSSO
2019/12;Desmatamento Consolidado;58;MATO GROSSO DO SUL
2019/12;Desmatamento Consolidado;48;MINAS GERAIS
2019/12;Desmatamento Consolidado;39;PIAUÍ
2019/12;Desmatamento Consolidado;23;SÃO PAULO
2019/12;Desmatamento Consolidado;70;TOCANTINS
2019/12;Desmatamento Recente;47;BAHIA
2019/12;Desmatamento Recente;23;GOIÁS
2019/12;Desmatamento Recente;372;MARANHÃO
2019/12;Desmatamento Recente;41;MATO GROSSO
2019/12;Desmatamento Recente;9;MATO GROSSO DO SUL
2019/12;Desmatamento Recente;9;MINAS GERAIS
2019/12;Desmatamento Recente;23;PIAUÍ
2019/12;Desmatamento Recente;99;TOCANTINS
2019/12;Floresta;27;BAHIA
2019/12;Floresta;6;GOIÁS
2019/12;Floresta;87;MARANHÃO
2019/12;Floresta;13;MATO GROSSO
2019/12;Floresta;1;MATO GROSSO DO SUL
2019/12;Floresta;9;MINAS GERAIS
2019/12;Floresta;1;PARANÁ
2019/12;Floresta;47;PIAUÍ
2019/12;Floresta;15;TOCANTINS
